orgid,organization,lat,long,accuracy,address_type,formatted_address,AB_nonprofit_flag,Calgary_Foundation_flag,CRA_donee_flag,Google_Place_flag,Postal Code,street,quadrant,calgary_ward_2017_label,ahs_local_code,AHS_Local_Name,CFSAUID,FSA_id,CFSAUID_EDIT_add_lowercase,comm_code,community_name,CTUID
36,ALCOHOLICS ANONYMOUS,51.0174804,-114.0602097,establishment,"establishment,health,point_of_interest","4015 1 St SE, Calgary, AB T2G 4X7, Canada",N,N,N,Y,T2G4X7,4015 1 St SE,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2S,110,T2S,MNI,MANCHESTER INDUSTRIAL,8250030.00
1023,ALCOVE ADDICTION RECOVERY FOR WOMEN,51.0158314,-114.107761,"",Charity (google maps),"1937 42 Ave SW, Calgary, AB T2T 2M6","","","","",T2T2M6,1937 42 Ave SW,SW,WARD 8,Z2.4.C.03,CALGARY - CENTRE WEST,T2T,111,T2T,ALT,ALTADORE,8250023.00
38,ALL-IN TREATMENT CENTER,51.0499021,-114.0719591,establishment,"establishment,health,point_of_interest","500 4 Ave SW #2500, Calgary, AB T2P 2V6, Canada",N,N,N,Y,T2P2V6,500 4 Ave SW #2500,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
39,ALPINE CLUB OF CANADA,51.0843289,-114.2197716,establishment,"establishment,point_of_interest","151 Canada Olympic Rd SW #302, Calgary, AB T3B 6B7, Canada",N,Y,N,N,T3B6B7,151 Canada Olympic Rd SW #302,SW,WARD 6,Z2.4.A.01,CALGARY - WEST,T3H,82,T3H,COP,CANADA OLYMPIC PARK,8250050.08
40,ALZHEIMER SOCIETY OF CALGARY,50.9912535,-114.0732255,establishment,"establishment,point_of_interest","7015 Macleod Trail SW #800, Calgary, AB T2H 2K6, Canada",Y,N,Y,Y,T2H2K6,7015 Macleod Trail SW #800,SW,WARD 11,Z2.4.E.05,CALGARY - FISH CREEK,T2V,149,T2V,KIN,KINGSLAND,8250013.00
41,AMYOTROPHIC LATERAL SCLEROSIS (ALS) SOCIETY OF ALBERTA,51.1216422,-114.0419287,establishment,"establishment,point_of_interest","7874 10 St NE, Calgary, AB T2E 8W1, Canada",N,Y,Y,N,T2E8W1,7874 10 St NE,NE,WARD 5,Z2.2.A.01,CALGARY - UPPER NE,T2E,4,T2E,DBC,DEERFOOT BUSINESS CENTRE,8250061.00
42,"ANDY BHATTI INTERVENTIONS & ADDICTION SERVICES ,Calgary, AB, CA",50.905253,-114.1207747,establishment,Addiction treatment center (google maps),"8 Bridlecrest Dr SW, Calgary, AB T2Y 0H6","","","","",T2Y0H6,8 Bridlecrest Dr SW,SW,WARD 13,Z2.4.F.06,CALGARY - SW,T2Y,153,T2Y,BRI,BRIDLEWOOD,8250001.39
43,ANGER MANAGEMENT DIRECTORY,51.123086,-114.1974945,establishment,"establishment,health,point_of_interest","1829 Ranchlands Blvd NW Suite 223, Calgary, AB T3G 2A7, Canada",N,N,N,Y,T3G2A7,1829 Ranchlands Blvd NW Suite 223,NW,WARD 2,Z2.1.A.01,CALGARY - UPPER NW,T3G,9,T3G,RAN,RANCHLANDS,8250077.04
44,ANNE'S LANGUAGE HOUSE,51.04716,-114.063506,establishment,"establishment,point_of_interest","101 6 Ave SW Unit# 1250, Calgary, AB T2P 3P4, Canada",N,N,N,Y,T2P3P4,101 6 Ave SW Unit# 1250,SW,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
45,ANXIETYCENTRE.COM,51.146998,-114.250783,establishment,"establishment,health,point_of_interest","70 Rockbluff Close NW, Calgary, AB T3G 5B2, Canada",N,N,N,Y,T3G5B2,70 Rockbluff Close NW,NW,WARD 1,Z2.1.A.01,CALGARY - UPPER NW,T3G,9,T3G,ROC,ROCKY RIDGE,8250077.27
47,ART À LA CARTE … A COMPLEMENTARY ARTS SOCIETY,51.0551406,-114.0590139,establishment,"establishment,point_of_interest","217 3 Ave NE, Calgary, AB T2E 0H3, Canada",N,Y,N,N,T2E0H3,217 3 Ave NE,NE,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2E,4,T2E,CRE,CRESCENT HEIGHTS,8250059.00
48,ART OF LIVING FOUNDATION-CALGARY CHAPTER,51.0035886,-114.0755262,establishment,"establishment,gym,health,point_of_interest","528 56 Ave SW, Calgary, AB T2V 0G7, Canada",N,Y,Y,N,T2V0G7,528 56 Ave SW,SW,WARD 11,Z2.4.D.04,CALGARY - ELBOW,T2V,149,T2V,WND,WINDSOR PARK,8250029.00
50,"ASPEN FAMILY & COMMUNITY NETWORK ,Calgary, AB, CA",51.0756851,-114.0065222,establishment,Family Service Center (there is anoth location - google maps),"2609 15 St NE #200, Calgary, AB T2E 8Y4","","","","",T2E8Y4,2609 15 St NE #200,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T2E,4,T2E,SAW,SOUTH AIRWAYS,8250061.00
51,ASSOCIATED COUNSELLING,51.036318,-114.094681,establishment,"establishment,health,point_of_interest","1842 14 St SW, Calgary, AB T2T 3S9, Canada",N,N,N,Y,T2T3S9,1842 14 St SW,SW,WARD 8,Z2.4.D.04,CALGARY - ELBOW,T2T,111,T2T,LMR,LOWER MOUNT ROYAL,8250027.00
54,AUTISM CALGARY ASSOCIATION,51.0853574,-113.9982999,establishment,"establishment,point_of_interest","3639 26 St NE, Calgary, AB T1Y 5E1, Canada",Y,Y,Y,N,T1Y5E1,3639 26 St NE,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T3J,83,T3J,HOR,HORIZON,8250038.31
56,AVENTA CENTRE OF EXCELLENCE FOR WOMEN WITH ADDICTIONS,51.030766,-114.073985,establishment,"establishment,health,point_of_interest","610 25 Ave SW, Calgary, AB T2S 0L6, Canada",N,N,Y,Y,T2S0L6,610 25 Ave SW,SW,WARD 8,Z2.4.D.04,CALGARY - ELBOW,T2S,110,T2S,CLI,CLIFF BUNGALOW,8250027.00
58,BANKVIEW COMMUNITY ASSOCIATION,51.032513,-114.101488,establishment,"establishment,point_of_interest","2418 17 St SW, Calgary, AB T2T 4M8, Canada",Y,N,N,Y,T2T4M8,2418 17 St SW,SW,WARD 8,Z2.4.C.03,CALGARY - CENTRE WEST,T2T,111,T2T,BNK,BANKVIEW,8250026.00
59,BANKVIEW HOUSE SENIOR CITIZENS RESIDENCE,51.0368363,-114.0998835,establishment,"establishment,health,point_of_interest","1826 16A Street SW, Calgary, AB T2T 4J7, Canada",N,N,N,Y,T2T4J7,1826 16A Street SW,SW,WARD 8,Z2.4.C.03,CALGARY - CENTRE WEST,T2T,111,T2T,BNK,BANKVIEW,8250026.00
61,BAYDA DISABILITY LAW,51.0810846,-114.0139564,establishment,"establishment,lawyer,point_of_interest","1915 32 Ave NE, Calgary, AB T2E 7C8, Canada",N,N,N,Y,T2E7C8,1915 32 Ave NE,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T2E,4,T2E,SAW,SOUTH AIRWAYS,8250061.00
62,BERLITZ CALGARY LEARNING CENTRE,51.047384,-114.068148,establishment,"establishment,point_of_interest,school","311 6 Ave SW #250, Calgary, AB T2P 4M9, Canada",N,N,N,Y,T2P4M9,311 6 Ave SW #250,SW,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
63,BERNIE’S BUDDIES,51.0465556,-114.0741232,establishment,"establishment,point_of_interest","City of, Calgary, AB T2P 2T5, Canada",N,Y,N,N,T2P2T5,City of,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
64,BETHANY CALGARY,51.0604201,-114.1031077,establishment,"establishment,health,point_of_interest","916 18a St NW, Calgary, AB T2N 1C6, Canada",N,N,N,Y,T2N1C6,916 18a St NW,NW,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2N,105,T2N,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,8250057.00
65,BETHANY CARE FOUNDATION,51.0305158,-113.9904284,establishment,"establishment,health,point_of_interest","2915 26 Ave SE #100, Calgary, AB T2B 2W6, Canada",N,Y,Y,N,T2B2W6,2915 26 Ave SE #100,SE,WARD 9,Z2.3.A.01,CALGARY - EAST,T2B,2,T2B,DOV,DOVER,8250035.02
67,BETWEEN FRIENDS (CALGARY BETWEEN FRIENDS CLUB – FUN AND FELLOWSHIP FOR DISABLED YOUTH),50.973616,-114.072686,establishment,"establishment,point_of_interest","8989 Macleod Trail SE #205, Calgary, AB T2H 0M2, Canada",N,Y,Y,N,T2H0M2,8989 Macleod Trail SE #205,SW,WARD 11,Z2.4.E.05,CALGARY - FISH CREEK,T2V,149,T2V,HAY,HAYSBORO,8250010.00
68,BIG BROTHERS BIG SISTERS OF CALGARY AND AREA (BBBS CALGARY),50.9999743,-114.064288,establishment,"establishment,point_of_interest","5945 Centre St S, Calgary, AB T2H 0C2, Canada",N,Y,Y,N,T2H0C2,5945 Centre St S,SW,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2H,35,T2H,MNI,MANCHESTER INDUSTRIAL,8250030.00
69,BIRTH NARRATIVES COUNSELLING,51.0680618,-114.1588552,establishment,"establishment,health,point_of_interest","4411 16 Ave NW #348, Calgary, AB T3B 0M3, Canada",N,N,N,Y,T3B0M3,4411 16 Ave NW #348,NW,WARD 7,Z2.1.E.05,CALGARY - WEST BOW,T3B,156,T3B,MON,MONTGOMERY,8250053.00
70,BISHOP O’BYRNE HOUSING ASSOCIATION (BOBHA),51.096207,-114.139727,establishment,"establishment,point_of_interest","1540 Northmount Dr NW #510, Calgary, AB T2L 0G6, Canada",N,Y,Y,N,T2L0G6,1540 Northmount Dr NW #510,NW,WARD 4,Z2.1.C.03,CALGARY - NOSEHILL,T2L,39,T2L,BRE,BRENTWOOD,8250077.01
71,BLUE COLLAR TEMPS,51.0551596,-113.9928198,establishment,"establishment,local_government_office,point_of_interest","412 28 St NE, Calgary, AB T2A 2L5, Canada",N,N,N,Y,T2A2L5,412 28 St NE,NE,WARD 10,Z2.2.B.02,CALGARY - LOWER NE,T2A,174,T2A,FRA,FRANKLIN,8250039.00
72,BOMA CALGARY FOUNDATION,51.0428828,-114.0736765,establishment,"establishment,point_of_interest","550 11 Ave SW #225, Calgary, AB T2R 1M7, Canada",N,N,N,Y,T2R1M7,550 11 Ave SW #225,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250044.00
73,BOW VALLEY COLLEGE,51.0469212,-114.0559973,establishment,"establishment,point_of_interest,university","345 6 Ave SE, Calgary, AB T2G 4V1, Canada",N,Y,Y,N,T2G4V1,345 6 Ave SE,SE,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,DNC,DOWNTOWN COMMERCIAL CORE,8250042.00
74,BOWMONT SENIORS ASSISTANCE ASSOCIATION,51.0755777,-114.1649342,establishment,"establishment,point_of_interest","5000 Bowness Rd NW, Calgary, AB T3B 0B9, Canada",N,N,Y,Y,T3B0B9,5000 Bowness Rd NW,NW,WARD 7,Z2.1.E.05,CALGARY - WEST BOW,T3B,156,T3B,MON,MONTGOMERY,8250053.00
75,BOWWEST COMMUNITY SUPPORT SERVICES SOCIETY,51.122629,-114.1958321,establishment,"establishment,point_of_interest","1840 Ranchlands Way NW #14, Calgary, AB T3G 1R4, Canada",Y,N,Y,N,T3G1R4,1840 Ranchlands Way NW #14,NW,WARD 2,Z2.1.A.01,CALGARY - UPPER NW,T3G,9,T3G,RAN,RANCHLANDS,8250077.04
76,BOYS AND GIRLS CLUBS OF CALGARY,51.0639308,-114.0479175,establishment,"establishment,point_of_interest","731 13 Ave NE, Calgary, AB T2E 1C8, Canada",N,Y,Y,Y,T2E1C8,731 13 Ave NE,NE,WARD 9,Z2.1.F.06,CALGARY - CENTRE NORTH,T2E,4,T2E,REN,RENFREW,8250060.00
77,BRANCH OUT NEUROLOGICAL FOUNDATION,51.0532067,-114.0950915,establishment,"establishment,point_of_interest","119 14 St NW #400, Calgary, AB T2N 1Z6, Canada",Y,Y,Y,Y,T2N1Z6,119 14 St NW #400,NW,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2N,105,T2N,HIL,HILLHURST,8250057.00
78,BRENDA STRAFFORD SOCIETY FOR THE PREVENTION OF DOMESTIC VIOLENCE,51.068057,-114.162346,establishment,"establishment,point_of_interest","4628 Montgomery Blvd NW, Calgary, AB T3B 0K7, Canada",N,Y,Y,N,T3B0K7,4628 Montgomery Blvd NW,NW,WARD 7,Z2.1.E.05,CALGARY - WEST BOW,T3B,156,T3B,MON,MONTGOMERY,8250053.00
79,BRENDA TAN-UHUEGBULEM,51.017786,-114.0626937,book_store,"book_store,establishment,food,point_of_interest,store","4014 Macleod Trail #202, Calgary, AB T2G 2R7, Canada",N,N,N,Y,T2G2R7,4014 Macleod Trail #202,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2S,110,T2S,MNI,MANCHESTER INDUSTRIAL,8250030.00
80,BRENDA'S HOUSE,51.0369307,-114.1286122,establishment,"establishment,point_of_interest","1921 28 St SW, Calgary, AB T3E 2H1, Canada",N,N,N,Y,T3E2H1,1921 28 St SW,SW,WARD 8,Z2.4.C.03,CALGARY - CENTRE WEST,T3E,8,T3E,KIL,KILLARNEY/GLENGARRY,8250021.00
84,BROWN BAGGING FOR CALGARY’S KIDS (BB4CK),51.0413165,-114.0671995,establishment,"establishment,point_of_interest","223 12 Ave SW, Calgary, AB T2R 0G9, Canada",N,Y,Y,N,T2R0G9,223 12 Ave SW,SW,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250044.00
85,BURNS MEMORIAL FUND FOR CHILDREN,51.0411562,-114.0629964,establishment,"establishment,point_of_interest","105 12 Ave SE #1120, Calgary, AB T2G 1A1, Canada",N,Y,Y,N,T2G1A1,105 12 Ave SE #1120,SE,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,BLN,BELTLINE,8250031.00
87,CALGARY ADULT ADDICTION SERVICES,51.0435926,-114.0771176,establishment,"establishment,health,point_of_interest","707 10 Ave SW 3rd floor, Calgary, AB T2R 0B3, Canada",N,N,N,Y,T2R0B3,707 10 Ave SW 3rd floor,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250044.00
88,CALGARY ALPHA HOUSE SOCIETY,51.0383902,-114.0603652,establishment,"establishment,point_of_interest","203 15 Ave SE, Calgary, AB T2G 1G4, Canada",Y,Y,Y,N,T2G1G4,203 15 Ave SE,SE,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,BLN,BELTLINE,8250031.00
89,CALGARY ALTERNATIVE SUPPORT SERVICES,51.079235,-114.005688,establishment,"establishment,point_of_interest","2335 30 Ave NE, Calgary, AB T2E 7C7, Canada",N,N,N,Y,T2E7C7,2335 30 Ave NE,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T2E,4,T2E,SAW,SOUTH AIRWAYS,8250061.00
91,CALGARY CAREER SERVICES,51.0429532,-114.1356815,establishment,"establishment,point_of_interest","99 Spruce Pl SW, Calgary, AB T3C 3X7, Canada",N,N,N,Y,T3C3X7,99 Spruce Pl SW,SW,WARD 8,Z2.4.A.01,CALGARY - WEST,T3C,7,T3C,SPR,SPRUCE CLIFF,8250048.00
92,CALGARY CATHOLIC IMMIGRATION SOCIETY (CCIS),51.0429151,-114.0866662,establishment,"establishment,point_of_interest","1111 11 Ave SW, Calgary, AB T2R 0G5, Canada",N,Y,Y,N,T2R0G5,1111 11 Ave SW,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250045.00
